Consumption (kWh), Start, End, Price
0.302, 2023-08-18T10:00+01:00, 2023-08-18T10:00+01:00, 19.7085
0.318, 2023-08-18T10:30+01:00, 2023-08-18T10:30+01:00, 19.047
0.944, 2023-08-18T11:00+01:00, 2023-08-18T11:00+01:00, 18.459
0.459, 2023-08-18T11:30+01:00, 2023-08-18T11:30+01:00, 19.2465
0.295, 2023-08-18T12:00+01:00, 2023-08-18T12:00+01:00, 17.64
0.329, 2023-08-18T12:30+01:00, 2023-08-18T12:30+01:00, 17.199
0.303, 2023-08-18T13:00+01:00, 2023-08-18T13:00+01:00, 16.317
0.332, 2023-08-18T13:30+01:00, 2023-08-18T13:30+01:00, 15.6555
0.308, 2023-08-18T14:00+01:00, 2023-08-18T14:00+01:00, 16.233
0.332, 2023-08-18T14:30+01:00, 2023-08-18T14:30+01:00, 14.994
0.491, 2023-08-18T15:00+01:00, 2023-08-18T15:00+01:00, 16.6005
0.317, 2023-08-18T15:30+01:00, 2023-08-18T15:30+01:00, 16.758
0.419, 2023-08-18T16:00+01:00, 2023-08-18T16:00+01:00, 30.681
0.327, 2023-08-18T16:30+01:00, 2023-08-18T16:30+01:00, 32.6655
0.306, 2023-08-18T17:00+01:00, 2023-08-18T17:00+01:00, 33.1065
0.286, 2023-08-18T17:30+01:00, 2023-08-18T17:30+01:00, 34.4295
0.272, 2023-08-18T18:00+01:00, 2023-08-18T18:00+01:00, 35.532
0.321, 2023-08-18T18:30+01:00, 2023-08-18T18:30+01:00, 34.9125
0.334, 2023-08-18T19:00+01:00, 2023-08-18T19:00+01:00, 23.289
0.332, 2023-08-18T19:30+01:00, 2023-08-18T19:30+01:00, 22.491
0.325, 2023-08-18T20:00+01:00, 2023-08-18T20:00+01:00, 22.848
0.324, 2023-08-18T20:30+01:00, 2023-08-18T20:30+01:00, 21.525
0.357, 2023-08-18T21:00+01:00, 2023-08-18T21:00+01:00, 21.252
0.36, 2023-08-18T21:30+01:00, 2023-08-18T21:30+01:00, 16.0965
0.32, 2023-08-18T22:00+01:00, 2023-08-18T22:00+01:00, 17.4195
0.329, 2023-08-18T22:30+01:00, 2023-08-18T22:30+01:00, 16.359
0.299, 2023-08-18T23:00+01:00, 2023-08-18T23:00+01:00, 22.2285
0.218, 2023-08-18T23:30+01:00, 2023-08-18T23:30+01:00, 17.094
0.258, 2023-08-19T00:00+01:00, 2023-08-19T00:00+01:00, 13.23
0.243, 2023-08-19T00:30+01:00, 2023-08-19T00:30+01:00, 10.563
0.226, 2023-08-19T01:00+01:00, 2023-08-19T01:00+01:00, 9.8595
0.256, 2023-08-19T01:30+01:00, 2023-08-19T01:30+01:00, 9.261
0.219, 2023-08-19T02:00+01:00, 2023-08-19T02:00+01:00, 8.82
0.219, 2023-08-19T02:30+01:00, 2023-08-19T02:30+01:00, 7.056
0.251, 2023-08-19T03:00+01:00, 2023-08-19T03:00+01:00, 5.376
0.227, 2023-08-19T03:30+01:00, 2023-08-19T03:30+01:00, 3.9165
0.227, 2023-08-19T04:00+01:00, 2023-08-19T04:00+01:00, 5.733
0.23, 2023-08-19T04:30+01:00, 2023-08-19T04:30+01:00, 5.649
0.265, 2023-08-19T05:00+01:00, 2023-08-19T05:00+01:00, 8.463
0.232, 2023-08-19T05:30+01:00, 2023-08-19T05:30+01:00, 9.702
0.247, 2023-08-19T06:00+01:00, 2023-08-19T06:00+01:00, 10.584
0.249, 2023-08-19T06:30+01:00, 2023-08-19T06:30+01:00, 13.23
0.229, 2023-08-19T07:00+01:00, 2023-08-19T07:00+01:00, 11.382
0.232, 2023-08-19T07:30+01:00, 2023-08-19T07:30+01:00, 14.7105
0.274, 2023-08-19T08:00+01:00, 2023-08-19T08:00+01:00, 11.445
0.343, 2023-08-19T08:30+01:00, 2023-08-19T08:30+01:00, 13.4925
0.305, 2023-08-19T09:00+01:00, 2023-08-19T09:00+01:00, 11.046
0.331, 2023-08-19T09:30+01:00, 2023-08-19T09:30+01:00, 10.8045
0.286, 2023-08-19T10:00+01:00, 2023-08-19T10:00+01:00, 7.833
0.354, 2023-08-19T10:30+01:00, 2023-08-19T10:30+01:00, 7.7175
0.798, 2023-08-19T11:00+01:00, 2023-08-19T11:00+01:00, 4.746
1.284, 2023-08-19T11:30+01:00, 2023-08-19T11:30+01:00, 4.746
0.492, 2023-08-19T12:00+01:00, 2023-08-19T12:00+01:00, 2.205
0.648, 2023-08-19T12:30+01:00, 2023-08-19T12:30+01:00, 2.7825
0.742, 2023-08-19T13:00+01:00, 2023-08-19T13:00+01:00, 5.5125
0.322, 2023-08-19T13:30+01:00, 2023-08-19T13:30+01:00, 3.087
0.297, 2023-08-19T14:00+01:00, 2023-08-19T14:00+01:00, 6.678
0.281, 2023-08-19T14:30+01:00, 2023-08-19T14:30+01:00, 6.447
0.216, 2023-08-19T15:00+01:00, 2023-08-19T15:00+01:00, 9.702
0.275, 2023-08-19T15:30+01:00, 2023-08-19T15:30+01:00, 11.6445
0.256, 2023-08-19T16:00+01:00, 2023-08-19T16:00+01:00, 26.9325
0.229, 2023-08-19T16:30+01:00, 2023-08-19T16:30+01:00, 29.799
0.219, 2023-08-19T17:00+01:00, 2023-08-19T17:00+01:00, 29.799
0.674, 2023-08-19T17:30+01:00, 2023-08-19T17:30+01:00, 30.891
0.313, 2023-08-19T18:00+01:00, 2023-08-19T18:00+01:00, 31.563
0.337, 2023-08-19T18:30+01:00, 2023-08-19T18:30+01:00, 32.7495
0.379, 2023-08-19T19:00+01:00, 2023-08-19T19:00+01:00, 21.147
0.282, 2023-08-19T19:30+01:00, 2023-08-19T19:30+01:00, 20.9475
0.25, 2023-08-19T20:00+01:00, 2023-08-19T20:00+01:00, 22.05
0.328, 2023-08-19T20:30+01:00, 2023-08-19T20:30+01:00, 22.05
0.312, 2023-08-19T21:00+01:00, 2023-08-19T21:00+01:00, 22.2915
0.316, 2023-08-19T21:30+01:00, 2023-08-19T21:30+01:00, 20.1495
0.336, 2023-08-19T22:00+01:00, 2023-08-19T22:00+01:00, 21.168
0.309, 2023-08-19T22:30+01:00, 2023-08-19T22:30+01:00, 19.5405
0.301, 2023-08-19T23:00+01:00, 2023-08-19T23:00+01:00, 19.404
0.286, 2023-08-19T23:30+01:00, 2023-08-19T23:30+01:00, 20.0655
0.244, 2023-08-20T00:00+01:00, 2023-08-20T00:00+01:00, 19.1835
0.204, 2023-08-20T00:30+01:00, 2023-08-20T00:30+01:00, 19.5825
0.224, 2023-08-20T01:00+01:00, 2023-08-20T01:00+01:00, 18.081
0.234, 2023-08-20T01:30+01:00, 2023-08-20T01:30+01:00, 18.3015
0.214, 2023-08-20T02:00+01:00, 2023-08-20T02:00+01:00, 18.081
0.201, 2023-08-20T02:30+01:00, 2023-08-20T02:30+01:00, 18.7425
0.233, 2023-08-20T03:00+01:00, 2023-08-20T03:00+01:00, 19.761
0.226, 2023-08-20T03:30+01:00, 2023-08-20T03:30+01:00, 20.643
0.213, 2023-08-20T04:00+01:00, 2023-08-20T04:00+01:00, 19.6245
0.208, 2023-08-20T04:30+01:00, 2023-08-20T04:30+01:00, 20.727
0.256, 2023-08-20T05:00+01:00, 2023-08-20T05:00+01:00, 18.3015
0.224, 2023-08-20T05:30+01:00, 2023-08-20T05:30+01:00, 20.0445
0.226, 2023-08-20T06:00+01:00, 2023-08-20T06:00+01:00, 19.047
0.232, 2023-08-20T06:30+01:00, 2023-08-20T06:30+01:00, 19.845
0.243, 2023-08-20T07:00+01:00, 2023-08-20T07:00+01:00, 17.976
0.214, 2023-08-20T07:30+01:00, 2023-08-20T07:30+01:00, 20.4645
0.226, 2023-08-20T08:00+01:00, 2023-08-20T08:00+01:00, 17.64
0.362, 2023-08-20T08:30+01:00, 2023-08-20T08:30+01:00, 19.362
0.344, 2023-08-20T09:00+01:00, 2023-08-20T09:00+01:00, 17.64
0.324, 2023-08-20T09:30+01:00, 2023-08-20T09:30+01:00, 17.64
0.308, 2023-08-20T10:00+01:00, 2023-08-20T10:00+01:00, 17.703
0.41, 2023-08-20T10:30+01:00, 2023-08-20T10:30+01:00, 17.64
0.315, 2023-08-20T11:00+01:00, 2023-08-20T11:00+01:00, 18.3015
0.65, 2023-08-20T11:30+01:00, 2023-08-20T11:30+01:00, 17.619
0.378, 2023-08-20T12:00+01:00, 2023-08-20T12:00+01:00, 17.64
0.379, 2023-08-20T12:30+01:00, 2023-08-20T12:30+01:00, 16.758
1.4, 2023-08-20T13:00+01:00, 2023-08-20T13:00+01:00, 15.435
0.608, 2023-08-20T13:30+01:00, 2023-08-20T13:30+01:00, 12.9675
0.382, 2023-08-20T14:00+01:00, 2023-08-20T14:00+01:00, 14.007
0.38, 2023-08-20T14:30+01:00, 2023-08-20T14:30+01:00, 9.9225
0.358, 2023-08-20T15:00+01:00, 2023-08-20T15:00+01:00, 16.5375
0.256, 2023-08-20T15:30+01:00, 2023-08-20T15:30+01:00, 14.3325
0.403, 2023-08-20T16:00+01:00, 2023-08-20T16:00+01:00, 30.0615
0.319, 2023-08-20T16:30+01:00, 2023-08-20T16:30+01:00, 29.5365
0.264, 2023-08-20T17:00+01:00, 2023-08-20T17:00+01:00, 32.088
0.378, 2023-08-20T17:30+01:00, 2023-08-20T17:30+01:00, 31.8045
0.303, 2023-08-20T18:00+01:00, 2023-08-20T18:00+01:00, 35.112
0.284, 2023-08-20T18:30+01:00, 2023-08-20T18:30+01:00, 35.175
0.221, 2023-08-20T19:00+01:00, 2023-08-20T19:00+01:00, 24.255
0.511, 2023-08-20T19:30+01:00, 2023-08-20T19:30+01:00, 25.137
0.307, 2023-08-20T20:00+01:00, 2023-08-20T20:00+01:00, 25.3995
0.303, 2023-08-20T20:30+01:00, 2023-08-20T20:30+01:00, 25.2
0.321, 2023-08-20T21:00+01:00, 2023-08-20T21:00+01:00, 22.848
0.276, 2023-08-20T21:30+01:00, 2023-08-20T21:30+01:00, 22.071
0.329, 2023-08-20T22:00+01:00, 2023-08-20T22:00+01:00, 21.168
